JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW0002,P00547,Homoserine kinase (HK) (HSK) (EC 2.7.1.39),310,thrB,P00547;,
JW0003,P00934,Threonine synthase (TS) (EC 4.2.3.1),428,thrC,P00934;,1VB3;
JW0004,P75616,Uncharacterized protein YaaX,98,yaaX,P75616;,
JW0005,P0A8I3,DNA-binding and peroxide stress resistance protein YaaA (UPF0246 protein YaaA),258,yaaA,P0A8I3;,5CAJ;
JW0007,P0A870,Transaldolase B (EC 2.2.1.2),317,talB,P0A870;,1I2N;1I2O;1I2P;1I2Q;1I2R;1ONR;1UCW;3CWN;3KOF;4RZ5;4RZ6;4S2B;4S2C;
JW0008,P0AF03,Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75),195,mog,P0AF03;,1DI6;1DI7;
JW5001,P28697,Uncharacterized protein MbiA (Modifier of biofilm),161,mbiA,P28697;,
JW0012,P28696,UPF0412 protein YaaI,134,yaaI,P28696;,
JW0013,P0A6Y8,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),638,dnaK,P0A6Y8;,1BPR;1DG4;1DKG;1DKX;1DKY;1DKZ;1Q5L;2BPR;2KHO;3DPO;3DPP;3DPQ;3QNJ;4B9Q;4E81;4EZN;4EZO;4EZP;4EZQ;4EZR;4EZS;4EZT;4EZU;4EZV;4EZW;4EZX;4EZY;4EZZ;4F00;4F01;4HY9;4HYB;4JN4;4JNE;4JNF;4JWC;4JWD;4JWE;4JWI;4R5G;4R5I;4R5J;4R5K;4R5L;5NRO;5OOW;7JMM;7JN8;7JN9;7JNE;7KO2;7KRT;7KRU;7KRV;7KRW;7KZI;7KZU;7N6J;7N6K;7N6L;7N6M;7RAX;
JW0014,P08622,Chaperone protein DnaJ (HSP40) (Heat shock protein J),376,dnaJ,P08622;,1BQ0;1BQZ;1EXK;1XBL;5NRO;
JW5002,P0ACG4,Toxic protein HokC (Protein Gef),50,hokC,P0ACG4;,
JW0019,P0A9G2,Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein),301,nhaR,P0A9G2;,
