Genes,Uniprot_ID,Sol
thrB,P00547,0.32
thrC,P00934,0.18
yaaX,P75616,0.78
yaaA,P0A8I3,0.07
talB,P0A870,0.85
mog,P0AF03,0.89
htgA,P28697,0.46
yaaI,P28696,0.59
dnaK,P0A6Y8,1.16
dnaJ,P08622,0.52
hokC,P0ACG4,0.32
nhaR,P0A9G2,0.13
rpsT,P0A7U7,1.03
ribF,P0AG40,0.42
lspA,P00804,0.06
fkpB,P0AEM0,1.1
ispH,P62623,0.75
rihC,P22564,0.57
dapB,P04036,0.94
carA,P0A6F1,0.6
caiF,P0AE58,0.63
caiE,P39206,0.19
caiD,P31551,0.15
caiB,P31572,0.55
caiA,P60584,0.41
fixA,P60566,0.78
fixB,P31574,0.53
fixC,P68644,0.36
fixX,P68646,0.83
kefF,P0A754,0.34
folA,P0ABQ4,0.81
apaH,P05637,0.27
apaG,P62672,0.67
pdxA,P19624,0.95
surA,P0ABZ6,0.86
djlA,P31680,0.12
yabP,P39220,0.33
rluA,P0AA37,0.44
hepA,P60240,0.38
araD,P08203,0.81
araA,P08202,0.08
araB,P08204,0.3
araC,P0A9E0,0.28
yabI,P30149,0.18
thiQ,P31548,0.09
thiP,P31549,0.11
tbpA,P31550,0.22
sgrR,P33595,0.08
leuD,P30126,0.93
leuC,P0A6A6,0.7
leuB,P30125,0.58
leuA,P09151,0.1
leuO,P10151,0.08
ilvI,P00893,0.03
ilvH,P00894,0.15
mraZ,P22186,0.79
mraW,P60390,0.66
ftsL,P0AEN4,0.25
ftsI,P0AD68,0.22
murE,P22188,0.35
murF,P11880,0.59
murD,P14900,0.68
murG,P17443,0.49
murC,P17952,0.77
ddlB,P07862,0.97
ftsQ,P06136,0.24
ftsA,P0ABH0,0.85
ftsZ,P0A9A6,0.8
lpxC,P0A725,0.17
secA,P10408,0.58
mutT,P08337,1.08
yacG,P0A8H8,0.92
yacF,P36680,0.8
coaE,P0A6I9,0.64
hofB,P36645,0.17
ppdD,P36647,0.1
ampD,P13016,0.6
ampE,P0AE14,0.03
pdhR,P0ACL9,0.04
aceE,P0AFG8,0.16
aceF,P06959,0.95
lpd,P0A9P0,0.79
yacH,P36682,0.13
acnB,P36683,0.9
yacL,P0A8E5,0.83
speD,P0A7F6,0.36
speE,P09158,0.28
yacC,P0AA95,0.22
cueO,P36649,0.06
gcd,P15877,0.19
ligT,P37025,0.79
can,P61517,0.48
yadG,P36879,0.06
yadH,P0AFN6,0.05
yadI,P36881,0.18
yadE,P31666,0.12
panD,P0A790,0.75
yadD,P31665,0.22
panC,P31663,0.52
panB,P31057,0.44
yadC,P31058,0.15
yadK,P37016,0.41
yadL,P37017,0.24
yadM,P37018,0.26
htrE,P33129,0.09
yadN,P37050,0.77
folK,P26281,0.67
pcnB,P0ABF1,0.23
dksA,P0ABS1,0.73
sfsA,P0A823,0.2
hrpB,P37024,0.04
fhuA,P06971,0.07
fhuC,P07821,0.46
hemL,P23893,0.33
clcA,P37019,0.38
yadR,P0ACC3,0.84
pfs,P0AF12,1.06
dgt,P15723,0.04
degP,P0C0V0,0.31
cdaR,P37047,0.09
yaeH,P62768,0.93
yaeI,P37049,0.06
dapD,P0A9D8,0.41
map,P0AE18,0.64
rpsB,P0A7V0,0.77
tsf,P0A6P1,0.87
pyrH,P0A7E9,0.31
frr,P0A805,1.1
ispU,P60472,0.67
yaeL,P0AEH1,0.16
yaeT,P0A940,0.32
hlpA,P0AEU7,0.49
lpxD,P21645,0.48
fabZ,P0A6Q6,0.28
lpxA,P0A722,0.22
lpxB,P10441,0.47
rnhB,P10442,0.6
dnaE,P10443,0.32
accA,P0ABD5,0.29
ldcC,P52095,0.06
yaeR,P52096,0.82
tilS,P52097,0.33
rof,P0AFW8,1.14
yaeP,P0A8K5,1.09
yaeQ,P0AA97,0.77
yaeJ,P40711,1.09
nlpE,P40710,1.13
yaeF,P37056,0.51
proS,P16659,0.17
yaeB,P28634,0.86
rcsF,P69411,0.82
metQ,P28635,0.86
metN,P30750,0.23
gmhB,P63228,0.93
dkgB,P30863,0.79
yafC,P30864,0.08
yafD,P0A8U2,0.1
mltD,P0AEZ7,0.29
gloB,P0AC84,0.8
rnhA,P0A7Y4,0.73
dnaQ,P03007,0.13
yafT,P77339,0.61
yafV,Q47679,0.44
ivy,P0AD59,0.27
lpcA,P63224,0.92
yafJ,Q47147,0.33
yafK,P0AA99,0.26
yafQ,Q47149,1.07
dinJ,Q47150,0.83
yafL,Q47151,0.35
yafM,Q47152,0.47
mbhA,Q47154,0.74
fhiA,Q47153,0.09
dinB,Q47155,0.26
yafO,Q47157,0.16
yafP,Q47158,0.77
pepD,P15288,0.88
frsA,P04335,0.13
crl,P24251,0.87
phoE,P02932,0.03
proB,P0A7B5,0.88
proA,P07004,1.19
ykfI,P77692,0.29
yafW,Q47684,0.14
ykfG,Q47685,0.28
yafX,P75676,0.94
ykfF,P75677,0.87
ykfB,P77162,0.6
yafY,P77365,0.27
yafZ,P77206,0.09
ykfA,P75678,0.32
perR,Q57083,0.1
insO,P75680,0.13
ykfC,Q47688,0.21
mmuM,Q47690,0.98
afuC,P37009,0.42
afuB,P75681,0.31
ykgN,Q79E92,0.12
yagB,P37008,0.06
yagA,P37007,0.02
yagE,P75682,0.51
argF,P06960,0.09
yagK,P77657,0.94
yagL,P77607,0.14
yagM,P71296,0.21
yagP,P75684,0.19
yagQ,P77183,0.16
yagR,P77489,0.28
yagS,P77324,0.15
yagT,P77165,0.89
yagU,P0AAA1,0.44
ykgJ,P0AAL9,0.33
yagV,P77263,0.18
yagW,P77694,0.02
yagY,P77188,0.26
yagZ,P0AAA3,0.35
ykgM,P0A7N1,0.72
eaeH,P36943,0.05
ykgA,P77601,0.14
ykgC,P77212,0.47
ykgD,P77379,0.14
ykgE,P77252,0.1
ykgG,P77433,0.81
betA,P17444,0.09
betB,P17445,0.34
betI,P17446,0.19
yahA,P21514,0.26
yahB,P77700,0.02
